Wall time,Step,Value
1730935485.2573235,14393,1.4752346277236938
1730935489.7365513,14423,1.3484485149383545
1730935493.0449402,14443,1.3196674585342407
1730935494.2733867,14453,1.3531826734542847
1730935498.064117,14473,1.538230538368225
1730935500.6753564,14493,1.4332197904586792
1730935502.1872878,14503,1.8498895168304443
1730935505.9039385,14523,1.4577209949493408
1730935507.227037,14533,1.5630069971084595
1730935508.4420261,14543,1.3467724323272705
1730935510.509821,14553,1.65297269821167
1730935512.1332016,14563,1.2685976028442383
1730935513.412032,14573,1.8896273374557495
1730935514.6827915,14583,1.3070002794265747
1730935516.9941747,14593,1.2356958389282227
1730935519.811509,14613,1.5933119058609009
1730935531.3044474,14683,1.4007346630096436
1730935536.1634517,14713,1.529004454612732
1730935537.4281657,14723,1.4986844062805176
1730935540.1766074,14743,1.4072319269180298
1730935548.6600087,14793,1.5672096014022827
1730935549.8441644,14803,1.3738880157470703
1730935551.173196,14813,1.3497782945632935
1730935557.5051615,14853,1.381126046180725
1730935561.1979866,14873,1.4795502424240112
1730935562.5145895,14883,1.317611813545227
1730935567.521708,14913,1.1782021522521973
1730935568.9198203,14923,1.365313172340393
1730935575.0668519,14963,1.9358359575271606
1730935576.4127045,14973,1.708514928817749
1730935577.872199,14983,1.3797061443328857
1730935581.191775,15003,1.3584787845611572
1730935592.6264882,15073,1.2165018320083618
1730935593.8475797,15083,1.2178444862365723
1730935595.1097791,15093,1.3847572803497314
1730935598.7659173,15113,1.4403066635131836
1730935601.2933924,15133,1.4761401414871216
1730935603.7886634,15143,1.3036969900131226
1730935613.9727402,15213,1.164674162864685
1730935622.6034536,15263,1.4479947090148926
1730935631.3828065,15323,1.5547505617141724
1730935636.4696472,15353,1.6787238121032715
1730935637.7609992,15363,1.1853102445602417
1730935642.7248352,15393,1.3254468441009521
1730935653.9549222,15463,1.5523356199264526
1730935658.3607438,15493,1.3635472059249878
